,L1,L2,L3,L4,L5
0,"농업, 임업 및 어업",농업,작물 재배업,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업
1,"농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업
2,"농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업
3,"농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업
4,"농업, 임업 및 어업",농업,작물 재배업,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업
5,"농업, 임업 및 어업",농업,작물 재배업,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업
6,"농업, 임업 및 어업",농업,작물 재배업,기타 작물 재배업,기타 작물 재배업
7,"농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,콩나물 재배업
8,"농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업"
9,"농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,기타 시설작물 재배업
10,"농업, 임업 및 어업",농업,축산업,소 사육업,젖소 사육업
11,"농업, 임업 및 어업",농업,축산업,소 사육업,육우 사육업
12,"농업, 임업 및 어업",농업,축산업,양돈업,양돈업
13,"농업, 임업 및 어업",농업,축산업,가금류 및 조류 사육업,양계업
14,"농업, 임업 및 어업",농업,축산업,가금류 및 조류 사육업,기타 가금류 및 조류 사육업
15,"농업, 임업 및 어업",농업,축산업,기타 축산업,말 및 양 사육업
16,"농업, 임업 및 어업",농업,축산업,기타 축산업,그 외 기타 축산업
17,"농업, 임업 및 어업",농업,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업
18,"농업, 임업 및 어업",농업,작물재배 및 축산 관련 서비스업,작물재배 관련 서비스업,작물재배 지원 서비스업
19,"농업, 임업 및 어업",농업,작물재배 및 축산 관련 서비스업,작물재배 관련 서비스업,"농산물 건조, 선별 및 기타 수확 후 서비스업"
20,"농업, 임업 및 어업",농업,작물재배 및 축산 관련 서비스업,축산 관련 서비스업,축산 관련 서비스업
21,"농업, 임업 및 어업",농업,수렵 및 관련 서비스업,수렵 및 관련 서비스업,수렵 및 관련 서비스업
22,"농업, 임업 및 어업",임업,임업,영림업,임업용 종묘 생산업
23,"농업, 임업 및 어업",임업,임업,영림업,육림업
24,"농업, 임업 및 어업",임업,임업,벌목업,벌목업
25,"농업, 임업 및 어업",임업,임업,임산물 채취업,임산물 채취업
26,"농업, 임업 및 어업",임업,임업,임업 관련 서비스업,임업 관련 서비스업
27,"농업, 임업 및 어업",어업,어로 어업,해수면 어업,원양 어업
28,"농업, 임업 및 어업",어업,어로 어업,해수면 어업,연근해 어업
29,"농업, 임업 및 어업",어업,어로 어업,내수면 어업,내수면 어업
